               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11046,            0.035237,                   0,           0.0043333,              0.8125,            0.013501,           0.0048421,            0.071257,            0.019634,                   0,              0.0946,              0.0006,              0.0006
                   1,            0.093949,            0.042996,                   0,             0.20666,             0.85417,             0.52834,             0.19714,            0.044551,            0.020313,                   0,            0.088283,           0.0012828,           0.0012828
                   2,            0.068907,            0.044881,                   0,             0.50395,              0.8125,                0.59,             0.22457,            0.035347,            0.017303,                   0,            0.081947,           0.0019472,           0.0019472
                   3,            0.067216,            0.038712,                   0,              0.4767,             0.72917,             0.57179,              0.2044,            0.034838,            0.015021,                   0,            0.075593,           0.0025931,           0.0025931
                   4,            0.061613,            0.035822,                   0,             0.57782,             0.77083,             0.68583,             0.25091,            0.031707,            0.013714,                   0,             0.06922,           0.0032205,           0.0032205
                   5,            0.058215,            0.031899,                   0,             0.64796,              0.5625,             0.65115,             0.37282,            0.037751,            0.011661,                   0,            0.062829,           0.0038294,           0.0038294
                   6,            0.055542,            0.030503,                   0,             0.61076,             0.66667,              0.6212,             0.28648,            0.039712,           0.0097623,                   0,             0.05642,           0.0044198,           0.0044198
                   7,            0.054709,            0.026958,                   0,             0.71895,             0.72917,             0.80669,             0.45307,            0.026953,           0.0092697,                   0,            0.049992,           0.0049918,           0.0049918
                   8,            0.055887,            0.029173,                   0,              0.4938,             0.89583,             0.68052,             0.31846,            0.031395,           0.0085855,                   0,            0.043545,           0.0055453,           0.0055453
                   9,            0.056477,            0.025696,                   0,             0.77832,             0.83333,             0.89423,             0.41152,            0.031066,           0.0079193,                   0,             0.03708,           0.0060803,           0.0060803
                  10,            0.053739,            0.023936,                   0,             0.56983,             0.91667,             0.65746,             0.39843,            0.034879,           0.0073564,                   0,            0.030597,           0.0065968,           0.0065968
                  11,             0.05522,            0.024747,                   0,             0.79773,             0.89583,             0.86868,             0.42796,            0.033023,            0.006814,                   0,            0.024095,           0.0070948,           0.0070948
                  12,            0.051916,             0.02565,                   0,             0.59651,             0.77083,             0.64702,              0.3462,            0.033505,           0.0067818,                   0,            0.017574,           0.0075744,           0.0075744
                  13,            0.053505,            0.025482,                   0,             0.52885,             0.66667,             0.67961,             0.35745,            0.035074,           0.0069654,                   0,            0.011035,           0.0080355,           0.0080355
                  14,            0.054026,            0.024629,                   0,             0.72496,             0.91667,             0.77344,             0.28846,            0.036663,            0.007045,                   0,            0.008152,            0.008152,            0.008152
                  15,            0.050671,            0.022929,                   0,             0.55755,             0.78763,             0.71899,              0.4383,            0.033384,           0.0066502,                   0,            0.008152,            0.008152,            0.008152
                  16,            0.050016,            0.022382,                   0,             0.74109,             0.85417,              0.8329,             0.47097,            0.028724,           0.0064321,                   0,             0.00802,             0.00802,             0.00802
                  17,            0.047525,            0.020507,                   0,             0.57609,              0.8125,             0.70668,             0.30283,            0.043544,           0.0068262,                   0,            0.007888,            0.007888,            0.007888
                  18,            0.046714,            0.023523,                   0,             0.88449,              0.9375,             0.96962,             0.58132,            0.022543,            0.005878,                   0,            0.007756,            0.007756,            0.007756
                  19,            0.042388,            0.023514,                   0,             0.77109,             0.91239,             0.87479,             0.49168,            0.026408,           0.0059912,                   0,            0.007624,            0.007624,            0.007624
                  20,            0.043387,            0.022873,                   0,             0.74066,             0.89254,             0.81668,             0.38897,            0.025372,           0.0065432,                   0,            0.007492,            0.007492,            0.007492
                  21,            0.040515,            0.023272,                   0,             0.76647,              0.9375,             0.85444,             0.54023,            0.027311,           0.0060203,                   0,             0.00736,             0.00736,             0.00736
                  22,            0.038328,             0.01799,                   0,             0.70537,              0.9375,             0.79548,             0.39108,             0.02975,           0.0061469,                   0,            0.007228,            0.007228,            0.007228
                  23,            0.042049,            0.021641,                   0,             0.91405,                   1,             0.96472,             0.63326,            0.019442,           0.0061264,                   0,            0.007096,            0.007096,            0.007096
                  24,            0.037899,             0.02177,                   0,             0.84214,             0.97917,             0.94753,             0.49285,            0.023543,           0.0061672,                   0,            0.006964,            0.006964,            0.006964
                  25,            0.036105,            0.019691,                   0,              0.8842,             0.97917,             0.94618,             0.57044,            0.021412,           0.0062039,                   0,            0.006832,            0.006832,            0.006832
                  26,             0.03521,            0.019237,                   0,             0.66064,             0.91667,             0.76315,             0.40937,            0.022124,           0.0066471,                   0,              0.0067,              0.0067,              0.0067
                  27,            0.033436,            0.018606,                   0,             0.72584,             0.89583,             0.85136,             0.54131,             0.02068,           0.0059466,                   0,            0.006568,            0.006568,            0.006568
                  28,            0.038563,            0.021313,                   0,             0.83148,             0.95833,             0.91596,             0.62144,            0.017712,           0.0057392,                   0,            0.006436,            0.006436,            0.006436
                  29,            0.035089,            0.020009,                   0,             0.68023,             0.97503,             0.74885,             0.51343,            0.022583,           0.0055294,                   0,            0.006304,            0.006304,            0.006304
                  30,            0.032857,            0.018569,                   0,             0.80875,             0.97917,             0.89551,             0.51444,             0.01993,           0.0056489,                   0,            0.006172,            0.006172,            0.006172
                  31,            0.031975,            0.020189,                   0,             0.88455,                   1,             0.93514,             0.64925,            0.017982,           0.0054517,                   0,             0.00604,             0.00604,             0.00604
                  32,             0.03114,            0.019516,                   0,             0.97466,                   1,             0.98704,             0.73949,            0.014854,           0.0053544,                   0,            0.005908,            0.005908,            0.005908
                  33,             0.02868,            0.018713,                   0,             0.97953,             0.99704,             0.98194,             0.62962,             0.01749,           0.0058401,                   0,            0.005776,            0.005776,            0.005776
                  34,            0.029819,            0.019331,                   0,             0.76656,             0.89583,             0.90141,             0.57822,            0.018105,           0.0058572,                   0,            0.005644,            0.005644,            0.005644
                  35,            0.029399,            0.016843,                   0,             0.97951,             0.99602,             0.98031,             0.69904,            0.014972,           0.0054536,                   0,            0.005512,            0.005512,            0.005512
                  36,            0.027786,            0.017553,                   0,             0.97951,             0.99593,             0.97969,             0.66002,            0.017452,           0.0055702,                   0,             0.00538,             0.00538,             0.00538
                  37,            0.029279,            0.017815,                   0,             0.97692,                   1,             0.97929,             0.58147,             0.01812,           0.0054352,                   0,            0.005248,            0.005248,            0.005248
                  38,            0.028036,            0.014923,                   0,             0.80626,             0.89583,             0.91619,             0.61698,            0.018742,           0.0056345,                   0,            0.005116,            0.005116,            0.005116
                  39,            0.027792,            0.017527,                   0,             0.97956,             0.99827,             0.97602,             0.65757,            0.015837,           0.0058057,                   0,            0.004984,            0.004984,            0.004984
                  40,            0.027709,             0.01577,                   0,             0.97947,             0.99403,             0.97602,              0.6702,             0.01765,           0.0057158,                   0,            0.004852,            0.004852,            0.004852
                  41,            0.026779,            0.016961,                   0,              0.9768,                   1,             0.97643,             0.69413,            0.014817,           0.0055075,                   0,             0.00472,             0.00472,             0.00472
                  42,            0.027648,            0.016272,                   0,             0.97607,                   1,             0.97806,             0.71228,             0.01528,            0.005384,                   0,            0.004588,            0.004588,            0.004588
                  43,            0.025203,            0.016432,                   0,             0.95833,                   1,             0.98212,             0.70123,            0.016355,           0.0055308,                   0,            0.004456,            0.004456,            0.004456
                  44,            0.024773,            0.017069,                   0,             0.93849,                   1,             0.98415,             0.74491,            0.013544,           0.0054944,                   0,            0.004324,            0.004324,            0.004324
                  45,            0.025072,            0.016312,                   0,             0.94114,             0.99932,             0.98471,             0.72959,            0.013258,           0.0054581,                   0,            0.004192,            0.004192,            0.004192
                  46,            0.026529,            0.016435,                   0,             0.95986,             0.99633,             0.98319,             0.70493,            0.016236,           0.0056152,                   0,             0.00406,             0.00406,             0.00406
                  47,            0.024125,            0.016114,                   0,             0.93963,                   1,             0.98024,             0.75312,            0.013521,           0.0051494,                   0,            0.003928,            0.003928,            0.003928
                  48,            0.023578,            0.015453,                   0,             0.94112,             0.99894,             0.97982,             0.73922,            0.014914,           0.0050628,                   0,            0.003796,            0.003796,            0.003796
                  49,            0.023269,            0.015874,                   0,              0.9567,             0.97917,             0.97988,             0.75923,            0.013448,           0.0050781,                   0,            0.003664,            0.003664,            0.003664
                  50,            0.022487,            0.016367,                   0,             0.95993,             0.99817,             0.98087,             0.74654,            0.013835,           0.0051329,                   0,            0.003532,            0.003532,            0.003532
                  51,            0.022059,            0.014474,                   0,             0.95995,             0.99885,              0.9817,             0.77725,            0.012344,           0.0051446,                   0,              0.0034,              0.0034,              0.0034
                  52,            0.022361,            0.015357,                   0,             0.95998,              0.9996,             0.98295,             0.77885,            0.012912,           0.0051386,                   0,            0.003268,            0.003268,            0.003268
                  53,            0.021407,            0.013992,                   0,             0.97953,             0.99702,             0.98439,             0.79176,            0.013647,           0.0053806,                   0,            0.003136,            0.003136,            0.003136
                  54,            0.019656,            0.014473,                   0,             0.97959,             0.99979,             0.98622,             0.76542,            0.014066,           0.0054524,                   0,            0.003004,            0.003004,            0.003004
                  55,            0.021661,            0.013985,                   0,             0.97952,             0.99668,              0.9848,             0.76597,             0.01246,           0.0054431,                   0,            0.002872,            0.002872,            0.002872
                  56,            0.021397,            0.016091,                   0,             0.95712,                   1,              0.9842,             0.75196,            0.012827,           0.0053999,                   0,             0.00274,             0.00274,             0.00274
                  57,            0.019494,            0.015341,                   0,              0.9585,                   1,             0.98482,             0.75322,            0.011951,            0.005295,                   0,            0.002608,            0.002608,            0.002608
                  58,            0.020031,            0.014822,                   0,             0.95988,             0.99705,             0.98482,             0.75959,             0.01239,           0.0053067,                   0,            0.002476,            0.002476,            0.002476
                  59,            0.018464,            0.012505,                   0,             0.97622,             0.97917,             0.98524,             0.78773,            0.012515,           0.0053442,                   0,            0.002344,            0.002344,            0.002344
                  60,            0.017092,            0.014074,                   0,             0.95989,              0.9971,             0.98524,             0.79025,            0.010995,           0.0051925,                   0,            0.002212,            0.002212,            0.002212
                  61,            0.017642,            0.013847,                   0,             0.97628,             0.97917,             0.98482,             0.78322,            0.011817,           0.0053406,                   0,             0.00208,             0.00208,             0.00208
                  62,            0.018107,            0.013729,                   0,             0.97649,             0.97917,             0.98337,             0.77774,            0.011451,           0.0053642,                   0,            0.001948,            0.001948,            0.001948
                  63,             0.01939,            0.013231,                   0,             0.97686,             0.97917,             0.98295,             0.78877,            0.011397,           0.0054228,                   0,            0.001816,            0.001816,            0.001816
                  64,            0.018541,            0.013135,                   0,             0.97674,             0.97917,             0.98295,             0.76963,            0.012444,           0.0054333,                   0,            0.001684,            0.001684,            0.001684
                  65,            0.017551,            0.012503,                   0,              0.9599,             0.99757,             0.98253,             0.78603,            0.011371,           0.0054677,                   0,            0.001552,            0.001552,            0.001552
                  66,            0.016235,            0.012889,                   0,             0.95991,             0.99772,             0.98295,              0.7849,            0.012262,           0.0054522,                   0,             0.00142,             0.00142,             0.00142
                  67,            0.017658,            0.013756,                   0,             0.95947,                   1,             0.98295,             0.79148,            0.011112,           0.0054715,                   0,            0.001288,            0.001288,            0.001288
                  68,            0.015714,            0.012795,                   0,             0.95925,                   1,             0.98337,             0.80113,            0.011679,           0.0054982,                   0,            0.001156,            0.001156,            0.001156
                  69,            0.016774,            0.011726,                   0,             0.95849,                   1,             0.98337,               0.788,            0.011628,           0.0055618,                   0,            0.001024,            0.001024,            0.001024
                  70,            0.015902,            0.014454,                   0,             0.95849,                   1,             0.98378,             0.78954,             0.01122,             0.00544,                   0,            0.000892,            0.000892,            0.000892
                  71,            0.015636,            0.013445,                   0,             0.95845,                   1,             0.98378,             0.79386,            0.011414,            0.005398,                   0,             0.00076,             0.00076,             0.00076
                  72,            0.015287,            0.013085,                   0,             0.95841,                   1,             0.98378,             0.80004,            0.011112,           0.0053966,                   0,            0.000628,            0.000628,            0.000628
                  73,            0.015881,             0.01292,                   0,             0.95873,                   1,             0.98482,              0.8052,            0.011211,           0.0054121,                   0,            0.000496,            0.000496,            0.000496
                  74,            0.015544,             0.01367,                   0,             0.95847,                   1,              0.9842,              0.8021,            0.011137,           0.0054009,                   0,            0.000364,            0.000364,            0.000364
